year,years
2010,2010
2008,2008
2012,2012
2004,2004
2016,2016
2017,2017
2014,2014
2015,2015
2002,2002
2005,2005
2011,2011
2007,2007
2006,2006
2013,2013
2009,2009
1996,1996
1995,1995
2003,2003
2001,2001
1993,1993
2000,2000
1992,1992
1997,1997
1999,1999
1998,1998
1991,1991
1994,1994
2018,2018
